title,text
Sate Kambing & Ayam Pak Jogo,"Kami kesini malam, jadi tidak panas, sejuk malan krn abis hujan. Sate kambingnya enak, empuk. Gulai empuk dan enak juga. Sate ayam juga enak. Wajib dicoba deh, recommended!"
Sate Kambing & Ayam Pak Jogo,"Semua menu enak. Pelayanan baik, ramah dan cepat. Tempat bersih dan asri."
Sate Kambing & Ayam Pak Jogo,"Muantaaaaap poooool RM yang setia dikunjungi tiap gelaran kustomfest, atau acara acara apapun di JEC tiap ke jogja ndak lengkapntanpa mampir… supeeer empul poool semua menu, ndak pernah ngecewain… ntaaaaps"
Sate Kambing & Ayam Pak Jogo,Makanannya saya rekomendasi karena enak dan lezat. Lokasi ada di map.
Sate Kambing & Ayam Pak Jogo,my father favourite satay and tengkleng house in Jogjakarta. the important thing it has big parking area
Sate Kambing & Ayam Pak Jogo,"Lumayanlah, secara rasa biasa aja. Kelebihan nya tongseng dan sate nya sudah siap. Jadi ga ada drama nunggu lama atau kelaparan. Semua serba siap saji."
Sate Kambing & Ayam Pak Jogo,"Beli sate kambing ,,sate nya masih alot 😌😌"
Sate Kambing & Ayam Pak Jogo,Kambingnya lezat. Pqling suka sate klatak nya.
Sate Kambing & Ayam Pak Jogo,Untuk makanan saya pesan sate kambing dan beberapa potong itu ada yg agak alot. So far secara potongan cukup besar dan rasanya enak. Suasananya agak panas kayanya boleh di tambah kipasnya
Sate Kambing & Ayam Pak Jogo,"Menyediakan makanan olahan daging kambing: sate bakar, sate klatak tengkleng, tongseng (kepala ada). Sate ayam ada, nasi goreng ada, dan sop iga sapi. Sate kambingnya empuk top banget, sop iganya kurang seger aja sih"
Sate Kambing & Ayam Pak Jogo,Kalau pengen sate yang layanannya cepat ya di sini. Rasa sudah oke.
Sate Kambing & Ayam Pak Jogo,Pesan sate dua porsi. Dagingnya alot. Kambing tua.
Sate Kambing & Ayam Pak Jogo,"Makanan enak, tempat cukup luas tp parkiran mobil agak terbatas"
Sate Kambing & Ayam Pak Jogo,"Ke Pak Jogo pesan tongseng 5 porsi minta kuah dan daging dipisah karena utk dibawa perjalanan keluar kota sebagai oleh-oleh, namun info dari pegawai tidak bisa dipisah, akhirnya gak jadi pesan. Sayang sekali padahal mau dibuat oleh-oleh, semoga ke depan Pak Jogo bisa mengkomodir pesanan seperti saya"
Sate Kambing & Ayam Pak Jogo,"Makanannya makyuss, porsi pas di perut"
Sate Kambing & Ayam Pak Jogo,Rekomendasi sate kambing yang enak tempat luas secara penyajian tidak lama.
Sate Kambing & Ayam Pak Jogo,"Sudah lumayan lama tidak kesini... masih tetap ramai, harga makanan sudah berubah"
Sate Kambing & Ayam Pak Jogo,sate yang termasuk legend... rasa enak... Nasi Goreng Kambing yang rasanya Istimewa (khusus yg suka masakan manis)
Sate Kambing & Ayam Pak Jogo,"Sate Kambing Pak Jogo Review Edisi Januari 2026 1. Bertempat di lokasi strategis, maaih di pusat kota Yogyakarta. 2. Parkirannya cukup luas namun lebih sering penuh, karena banyak pengunjung. Ada petugas parkir di lokasi. 3. Menu utama adalah sate, tengkleng dan olahan kambing lain. Harga terjangkau kisaran 30rb aja utk 1 porsi. Ad juga menu nasi goreng ya. 4. Tempat dine-in nya luas banget. Ada di bagian depan, samping dan belakang. 5. Penyajian makanan juga ga terlalu lama, sekitar 10 menit semua menu yang dipesan sudah disuguhkan di atas meja. Komplit. Merupakana salah satu destinasi wisata kuliner favorit jika sedang berkunjung ke Jogja. Recommended."
Sate Kambing & Ayam Pak Jogo,Pesan sate klathak dan tengkleng. Sate oke. Tengkleng kurang panas sih.. Minum es jeruk dan es teh. Es tehnya enaak ada sepet sepetnya.. Tempat nyaman.. Parkiran luas..
Sate Kambing & Ayam Pak Jogo,Sate legend nih.. emang istimewa sih
Sate Kambing & Ayam Pak Jogo,"Sate kambing memang padu—daging lembut, perapan sedap dan tak berbau. Kuah pun cukup rasa. Selain sate, makanan lain pun sedap dan berbaloi. Memang tempat yang recommended untuk makan kambing."
Sate Kambing & Ayam Pak Jogo,"Gulainya terlalu manis, kuahnya kecoklatan, bayangan saya tuh gulai yg kuahnya kuning trus khas aroma kambing. Sate kambingnya oke. Porsi nasinya juga cukup banyak, gak seperti warung sate kambing lain biasanya sedikit."
